Date,Stock,Qty,UnitPrice,Amt,Type,Notes
2010-10-20,HDFC,36,701,25236,,
2010-10-12,SAIL,,,127.5,DIV,
2010-10-07,MARUTI,7,1520,10640,SOLD,
2010-10-01,NTPC,,,62,DIV,
2010-09-14,MARUTI,,,162,DIV,
2010-09-04,TATA MOTORS,,,300,DIV,
2010-09-01,MARUTI,,,162,DIV,
2010-08-17,VOLTAS,,,200,DIV,
2010-08-14,TATA ST,,,480,DIV,
2010-08-10,HIND ZINC,,,228,DIV,
2010-08-10,NTPC,77,194,14938,,
2010-07-10,SBI ,,,200,DIV,
2010-07-10,LIC,,,300,DIV,
2010-06-10,TATA ST,50,466,23300,X,
2010-05-15,GVK POWER,280,43,12040,,
2010-05-15,HIND ZINC,120,109.5,13140,,"Split 1:10, 12@1095"
2010-05-10,HIND ZINC,150,98.4,14760,,"Split 1:10, 15@984"
2010-04-27,Maruti,10,1286,12860,X,
2010-04-05,TATA ST,40,670.4,26816,SOLD,
2010-02-13,SAIL,,,120,DIV,
2010-02-05,SATYAM,100,96,9600,X,
2010-02-05,SBI,100,187.5,18750,X,S1:10
2010-02-04,BALRAM,,,249,DIV,
2010-01-01,TATA MOTORS,100,143.4,14340,X,
2010-01-01,LIC,100,150,15000,X,
2010-01-01,HIND ZINC,110,107,11770,,"Split 1:10, 11@1070"
2009-11-23,HDFC,11,2830,31130,SOLD,
2009-11-17,ONGC,10,1205,12050,SOLD,
2009-10-23,MTNL,,,170,DIV,
2009-10-09,SBI,5,2320,11600,SOLD,
2009-10-09,VOLTAS,100,154.5,15450,X,
2009-10-01,ONGC,,,140,DIV,
2009-09-24,HDFCBANK,10,1607.1,16071,SOLD,
2009-09-24,HDFC,4,2705,10820,SOLD,
2009-09-23,BALRAM,83,119.5,9918.5,,
2009-09-07,MARUTI,,,60,DIV,
2009-08-28,TATA ST,,,800,DIV,
2009-08-19,TECHM,15,942.55,14962.5,,SATYAM 150@99.75 => techM
2009-08-17,SAIL,75,162.3,12172.5,,
2009-08-17,GVK POWER,200,45,9000,,
2009-07-23,HDFC,,,450,DIV,
2009-07-17,SBI,,,145,DIV,
2009-07-15,HDFCBANK,,,100,DIV,
2009-01-02,ONGC,,,180,DIV,
2009-01-05,SUZLON,230,65,14950,,
2008-11-08,HDFC,11,1800,19800,,
2008-10-29,MTNL,,,70,DIV,
2008-10-08,ONGC,10,785,7850,X,
2008-10-08,TATA ST,50,252,12600,X,
2008-09-08,MARUTI,,,85,DIV,
2008-09-08,MTNL,100,83.75,8375,,
2008-09-01,HDFC,4,2240,8960,,
2008-08-08,MTNL,70,98.25,6877.5,,
2008-08-08,Maruti,17,575,9775,X,
2008-07-16,SBI,5,1130,5650,X,
2008-07-14,HDFCBANK,10,1030,10300,X,
2008-07-10,L&T FIN,100,52,,IPO-X,
